Date,Time,T_heater,T_liquid,PWM
09-11-2023_17-18-39,0.010833333333333334,24.77,24.73,0
09-11-2023_17-18-40,0.010833333333333334,24.77,24.74,0
09-11-2023_17-18-40,0.010833333333333334,24.77,24.74,0
09-11-2023_17-18-40,0.010833333333333334,24.77,24.74,0
09-11-2023_17-18-40,0.011111111111111112,24.77,24.74,0
09-11-2023_17-18-41,0.011111111111111112,24.77,24.73,0
09-11-2023_17-18-41,0.011111111111111112,24.77,24.73,0
09-11-2023_17-18-41,0.011111111111111112,24.77,24.73,0
09-11-2023_17-18-41,0.01138888888888889,24.77,24.73,0
09-11-2023_17-18-42,0.01138888888888889,24.77,24.72,0
09-11-2023_17-18-42,0.01138888888888889,24.77,24.72,0
09-11-2023_17-18-42,0.01138888888888889,24.76,24.72,0
09-11-2023_17-18-42,0.011666666666666667,24.77,24.7,0
09-11-2023_17-18-43,0.011666666666666667,24.77,24.7,0
09-11-2023_17-18-43,0.011666666666666667,24.77,24.69,0
09-11-2023_17-18-43,0.011666666666666667,24.77,24.67,0
09-11-2023_17-18-43,0.011944444444444445,24.77,24.66,0
09-11-2023_17-18-44,0.011944444444444445,24.76,24.65,0
09-11-2023_17-18-44,0.011944444444444445,24.77,24.65,0
09-11-2023_17-18-44,0.011944444444444445,24.76,24.64,0
09-11-2023_17-18-44,0.012222222222222223,24.77,24.63,0
09-11-2023_17-18-45,0.012222222222222223,24.76,24.62,0
09-11-2023_17-18-45,0.012222222222222223,24.76,24.61,0
09-11-2023_17-18-45,0.012222222222222223,24.77,24.59,0
09-11-2023_17-18-45,0.0125,24.76,24.58,0
09-11-2023_17-18-46,0.0125,24.76,24.56,0
09-11-2023_17-18-46,0.0125,24.76,24.55,0
09-11-2023_17-18-46,0.0125,24.76,24.54,0
09-11-2023_17-18-47,0.012777777777777779,24.76,24.54,0
09-11-2023_17-18-47,0.012777777777777779,24.75,24.52,0
09-11-2023_17-18-47,0.012777777777777779,24.76,24.51,0
09-11-2023_17-18-47,0.012777777777777779,24.75,24.51,0
09-11-2023_17-18-48,0.013055555555555556,24.76,24.5,0
09-11-2023_17-18-48,0.013055555555555556,24.75,24.49,0
09-11-2023_17-18-48,0.013055555555555556,24.75,24.5,0
09-11-2023_17-18-48,0.013055555555555556,24.75,24.49,0
09-11-2023_17-18-49,0.013333333333333334,24.76,24.5,0
09-11-2023_17-18-49,0.013333333333333334,24.75,24.51,0
09-11-2023_17-18-49,0.013333333333333334,24.76,24.51,0
09-11-2023_17-18-49,0.013333333333333334,24.76,24.51,0
09-11-2023_17-18-50,0.01361111111111111,24.76,24.52,0
09-11-2023_17-18-50,0.01361111111111111,24.76,24.53,0
09-11-2023_17-18-50,0.01361111111111111,24.76,24.53,0
09-11-2023_17-18-50,0.01361111111111111,24.76,24.54,0
09-11-2023_17-18-51,0.013888888888888888,24.77,24.54,0
09-11-2023_17-18-51,0.013888888888888888,24.76,24.56,0
09-11-2023_17-18-51,0.013888888888888888,24.76,24.55,0
09-11-2023_17-18-51,0.013888888888888888,24.77,24.56,0
09-11-2023_17-18-52,0.014166666666666666,24.76,24.57,0
09-11-2023_17-18-52,0.014166666666666666,24.77,24.57,0
09-11-2023_17-18-52,0.014166666666666666,24.77,24.58,0
09-11-2023_17-18-52,0.014166666666666666,24.77,24.59,0
09-11-2023_17-18-53,0.014444444444444444,24.77,24.59,0
09-11-2023_17-18-53,0.014444444444444444,24.77,24.6,0
09-11-2023_17-18-53,0.014444444444444444,24.77,24.6,0
09-11-2023_17-18-53,0.014444444444444444,24.77,24.61,0
09-11-2023_17-18-54,0.014722222222222222,24.77,24.62,0
09-11-2023_17-18-54,0.014722222222222222,24.77,24.62,0
09-11-2023_17-18-54,0.014722222222222222,24.77,24.63,0
09-11-2023_17-18-54,0.014722222222222222,24.77,24.63,0
09-11-2023_17-18-55,0.015,24.77,24.64,0
09-11-2023_17-18-55,0.015,24.77,24.64,0
09-11-2023_17-18-55,0.015,24.76,24.64,0
09-11-2023_17-18-55,0.015,24.77,24.63,0
09-11-2023_17-18-56,0.015277777777777777,24.76,24.63,0
09-11-2023_17-18-56,0.015277777777777777,24.77,24.63,0
09-11-2023_17-18-56,0.015277777777777777,24.77,24.63,0
09-11-2023_17-18-56,0.015277777777777777,24.77,24.63,0
09-11-2023_17-18-57,0.015555555555555555,24.77,24.62,0
09-11-2023_17-18-57,0.015555555555555555,24.77,24.62,0
09-11-2023_17-18-57,0.015555555555555555,24.77,24.62,0
09-11-2023_17-18-57,0.015555555555555555,24.77,24.61,0
09-11-2023_17-18-58,0.015833333333333335,24.77,24.6,0
09-11-2023_17-18-58,0.015833333333333335,24.77,24.61,0
09-11-2023_17-18-58,0.015833333333333335,24.77,24.61,25
09-11-2023_17-18-58,0.015833333333333335,24.77,24.59,25
09-11-2023_17-18-59,0.01611111111111111,24.77,24.59,25
09-11-2023_17-18-59,0.01611111111111111,24.78,24.59,25
09-11-2023_17-18-59,0.01611111111111111,24.77,24.6,25
09-11-2023_17-18-59,0.01611111111111111,24.78,24.6,25
09-11-2023_17-19-00,0.01638888888888889,24.77,24.6,25
09-11-2023_17-19-00,0.01638888888888889,24.77,24.6,25
09-11-2023_17-19-00,0.01638888888888889,24.77,24.61,25
09-11-2023_17-19-00,0.01638888888888889,24.77,24.61,25
09-11-2023_17-19-01,0.016666666666666666,24.77,24.62,25
09-11-2023_17-19-01,0.016666666666666666,24.78,24.62,25
09-11-2023_17-19-01,0.016666666666666666,24.78,24.62,25
09-11-2023_17-19-01,0.016666666666666666,24.78,24.63,25
09-11-2023_17-19-02,0.016944444444444446,24.77,24.64,25
09-11-2023_17-19-02,0.016944444444444446,24.78,24.65,25
09-11-2023_17-19-02,0.016944444444444446,24.78,24.65,25
09-11-2023_17-19-02,0.016944444444444446,24.78,24.66,25
09-11-2023_17-19-03,0.017222222222222222,24.78,24.67,25
