Date,Time,T_heater,T_liquid,PWM
09-11-2023_16-31-03,0.008333333333333333,24.52,24.93,255
09-11-2023_16-31-03,0.008333333333333333,24.53,24.92,255
09-11-2023_16-31-03,0.008333333333333333,24.54,24.93,255
09-11-2023_16-31-04,0.008333333333333333,24.54,24.93,255
09-11-2023_16-31-04,0.008611111111111111,24.55,24.96,255
09-11-2023_16-31-04,0.008611111111111111,24.56,25.03,255
09-11-2023_16-31-04,0.008611111111111111,24.57,25.09,255
09-11-2023_16-31-05,0.008611111111111111,24.58,25.12,255
09-11-2023_16-31-05,0.008888888888888889,24.58,25.13,255
09-11-2023_16-31-05,0.008888888888888889,24.59,25.12,255
09-11-2023_16-31-05,0.008888888888888889,24.6,25.09,255
09-11-2023_16-31-06,0.008888888888888889,24.61,24.99,255
09-11-2023_16-31-06,0.009166666666666667,24.63,24.93,255
09-11-2023_16-31-06,0.009166666666666667,24.63,24.92,255
09-11-2023_16-31-06,0.009166666666666667,24.64,24.93,255
09-11-2023_16-31-07,0.009166666666666667,24.66,25.0,255
09-11-2023_16-31-07,0.009444444444444445,24.67,25.1,255
09-11-2023_16-31-07,0.009444444444444445,24.68,25.12,255
09-11-2023_16-31-07,0.009444444444444445,24.7,25.11,255
09-11-2023_16-31-08,0.009444444444444445,24.72,25.0,255
09-11-2023_16-31-08,0.009722222222222222,24.73,24.92,255
09-11-2023_16-31-08,0.009722222222222222,24.75,24.92,255
09-11-2023_16-31-08,0.009722222222222222,24.76,25.03,255
09-11-2023_16-31-09,0.009722222222222222,24.79,25.11,255
09-11-2023_16-31-09,0.01,24.81,25.08,255
09-11-2023_16-31-09,0.01,24.83,24.93,255
09-11-2023_16-31-09,0.01,24.85,24.91,255
09-11-2023_16-31-10,0.01,24.87,24.98,255
09-11-2023_16-31-10,0.010277777777777778,24.89,25.1,255
09-11-2023_16-31-10,0.010277777777777778,24.91,25.08,255
09-11-2023_16-31-10,0.010277777777777778,24.93,24.95,255
09-11-2023_16-31-11,0.010277777777777778,24.95,24.91,255
09-11-2023_16-31-11,0.010555555555555556,24.97,25.04,255
09-11-2023_16-31-11,0.010555555555555556,25.0,25.08,255
09-11-2023_16-31-11,0.010555555555555556,25.03,24.93,255
09-11-2023_16-31-12,0.010555555555555556,25.06,24.89,255
09-11-2023_16-31-12,0.010833333333333334,25.08,25.01,255
09-11-2023_16-31-12,0.010833333333333334,25.12,25.03,255
09-11-2023_16-31-12,0.010833333333333334,25.15,24.89,255
09-11-2023_16-31-13,0.010833333333333334,25.18,24.99,255
09-11-2023_16-31-13,0.011111111111111112,25.21,25.06,255
09-11-2023_16-31-13,0.011111111111111112,25.25,24.9,255
09-11-2023_16-31-13,0.011111111111111112,25.27,24.93,255
09-11-2023_16-31-14,0.011111111111111112,25.3,25.08,255
09-11-2023_16-31-14,0.01138888888888889,25.33,24.97,255
09-11-2023_16-31-14,0.01138888888888889,25.37,24.9,255
09-11-2023_16-31-14,0.01138888888888889,25.4,25.06,255
09-11-2023_16-31-15,0.01138888888888889,25.43,25.04,255
09-11-2023_16-31-15,0.011666666666666667,25.46,24.89,255
09-11-2023_16-31-15,0.011666666666666667,25.48,24.97,255
09-11-2023_16-31-15,0.011666666666666667,25.52,25.09,255
09-11-2023_16-31-16,0.011666666666666667,25.55,24.94,255
09-11-2023_16-31-16,0.011944444444444445,25.58,24.94,255
09-11-2023_16-31-16,0.011944444444444445,25.62,25.09,255
09-11-2023_16-31-16,0.011944444444444445,25.65,24.94,255
09-11-2023_16-31-17,0.011944444444444445,25.68,24.96,255
09-11-2023_16-31-17,0.012222222222222223,25.72,25.09,255
09-11-2023_16-31-17,0.012222222222222223,25.75,24.96,255
09-11-2023_16-31-17,0.012222222222222223,25.79,24.95,255
09-11-2023_16-31-18,0.012222222222222223,25.82,25.08,255
09-11-2023_16-31-18,0.0125,25.87,24.92,255
09-11-2023_16-31-18,0.0125,25.9,24.95,255
09-11-2023_16-31-18,0.0125,25.93,25.07,255
09-11-2023_16-31-19,0.0125,25.98,24.9,255
09-11-2023_16-31-19,0.012777777777777779,26.02,25.0,255
09-11-2023_16-31-19,0.012777777777777779,26.05,25.02,255
09-11-2023_16-31-19,0.012777777777777779,26.09,24.9,255
09-11-2023_16-31-20,0.012777777777777779,26.12,25.05,255
09-11-2023_16-31-20,0.013055555555555556,26.16,24.99,255
09-11-2023_16-31-20,0.013055555555555556,26.21,24.97,255
09-11-2023_16-31-20,0.013055555555555556,26.25,25.09,255
09-11-2023_16-31-21,0.013055555555555556,26.29,24.93,255
09-11-2023_16-31-21,0.013333333333333334,26.33,25.09,255
09-11-2023_16-31-21,0.013333333333333334,26.37,25.05,255
09-11-2023_16-31-21,0.013333333333333334,26.41,24.97,255
09-11-2023_16-31-22,0.013333333333333334,26.45,25.12,255
09-11-2023_16-31-22,0.01361111111111111,26.5,24.97,255
09-11-2023_16-31-22,0.01361111111111111,26.54,25.12,255
09-11-2023_16-31-22,0.01361111111111111,26.58,25.07,255
09-11-2023_16-31-23,0.01361111111111111,26.63,25.05,255
09-11-2023_16-31-23,0.013888888888888888,26.67,25.12,255
09-11-2023_16-31-23,0.013888888888888888,26.71,24.98,255
09-11-2023_16-31-23,0.013888888888888888,26.75,25.13,255
09-11-2023_16-31-24,0.013888888888888888,26.8,25.04,255
09-11-2023_16-31-24,0.014166666666666666,26.84,25.06,255
09-11-2023_16-31-24,0.014166666666666666,26.88,25.12,255
09-11-2023_16-31-24,0.014166666666666666,26.93,25.01,255
09-11-2023_16-31-25,0.014166666666666666,26.96,25.18,255
09-11-2023_16-31-25,0.014444444444444444,27.01,25.05,255
09-11-2023_16-31-25,0.014444444444444444,27.06,25.16,255
09-11-2023_16-31-25,0.014444444444444444,27.1,25.11,255
09-11-2023_16-31-26,0.014444444444444444,27.15,25.08,255
09-11-2023_16-31-26,0.014722222222222222,27.19,25.17,255
