Date,Time,T_heater,T_liquid,PWM
09-11-2023_18-47-49,0.29333333333333333,60.87,28.58,255
09-11-2023_18-47-50,0.29333333333333333,60.87,28.58,255
09-11-2023_18-47-50,0.29333333333333333,60.88,28.53,255
09-11-2023_18-47-50,0.2936111111111111,60.88,28.57,255
09-11-2023_18-47-50,0.2936111111111111,60.9,28.54,255
09-11-2023_18-47-51,0.2936111111111111,60.91,28.57,255
09-11-2023_18-47-51,0.29388888888888887,60.93,28.58,255
09-11-2023_18-47-51,0.29388888888888887,60.92,28.57,255
09-11-2023_18-47-51,0.29388888888888887,60.93,28.59,255
09-11-2023_18-47-52,0.29388888888888887,60.95,28.57,255
09-11-2023_18-47-52,0.2941666666666667,60.96,28.59,255
09-11-2023_18-47-52,0.2941666666666667,60.98,28.62,255
09-11-2023_18-47-52,0.2941666666666667,60.98,28.6,255
09-11-2023_18-47-53,0.2941666666666667,60.98,28.58,255
09-11-2023_18-47-53,0.29444444444444445,60.98,28.61,255
09-11-2023_18-47-53,0.29444444444444445,61.0,28.56,255
09-11-2023_18-47-53,0.29444444444444445,60.99,28.6,255
09-11-2023_18-47-54,0.29444444444444445,61.0,28.58,255
09-11-2023_18-47-54,0.2947222222222222,61.03,28.57,255
09-11-2023_18-47-54,0.2947222222222222,61.02,28.59,255
09-11-2023_18-47-54,0.2947222222222222,61.06,28.57,255
09-11-2023_18-47-55,0.2947222222222222,61.05,28.6,255
09-11-2023_18-47-55,0.295,61.06,28.62,255
09-11-2023_18-47-55,0.295,61.07,28.61,255
09-11-2023_18-47-55,0.295,61.08,28.61,255
09-11-2023_18-47-56,0.295,61.08,28.61,255
09-11-2023_18-47-56,0.29527777777777775,61.09,28.61,255
09-11-2023_18-47-56,0.29527777777777775,61.11,28.6,255
09-11-2023_18-47-56,0.29527777777777775,61.11,28.63,255
09-11-2023_18-47-57,0.29527777777777775,61.13,28.63,255
09-11-2023_18-47-57,0.29555555555555557,61.13,28.59,255
09-11-2023_18-47-57,0.29555555555555557,61.13,28.62,255
09-11-2023_18-47-57,0.29555555555555557,61.16,28.61,255
09-11-2023_18-47-58,0.29555555555555557,61.18,28.61,255
09-11-2023_18-47-58,0.29583333333333334,61.18,28.6,255
09-11-2023_18-47-58,0.29583333333333334,61.2,28.63,255
09-11-2023_18-47-58,0.29583333333333334,61.21,28.61,255
09-11-2023_18-47-59,0.29583333333333334,61.2,28.64,255
09-11-2023_18-47-59,0.2961111111111111,61.22,28.65,255
09-11-2023_18-47-59,0.2961111111111111,61.23,28.62,255
09-11-2023_18-47-59,0.2961111111111111,61.24,28.62,255
09-11-2023_18-48-00,0.2961111111111111,61.23,28.65,255
09-11-2023_18-48-00,0.29638888888888887,61.25,28.67,255
09-11-2023_18-48-00,0.29638888888888887,61.26,28.64,255
09-11-2023_18-48-00,0.29638888888888887,61.28,28.61,255
09-11-2023_18-48-01,0.29638888888888887,61.29,28.67,255
09-11-2023_18-48-01,0.2966666666666667,61.29,28.65,255
09-11-2023_18-48-01,0.2966666666666667,61.29,28.65,255
09-11-2023_18-48-01,0.2966666666666667,61.32,28.66,255
09-11-2023_18-48-02,0.2966666666666667,61.32,28.64,255
09-11-2023_18-48-02,0.29694444444444446,61.33,28.67,255
09-11-2023_18-48-02,0.29694444444444446,61.33,28.68,255
09-11-2023_18-48-02,0.29694444444444446,61.36,28.66,255
09-11-2023_18-48-03,0.29694444444444446,61.35,28.69,255
09-11-2023_18-48-03,0.2972222222222222,61.38,28.66,255
09-11-2023_18-48-03,0.2972222222222222,61.37,28.66,255
09-11-2023_18-48-03,0.2972222222222222,61.38,28.67,255
09-11-2023_18-48-04,0.2972222222222222,61.4,28.69,255
09-11-2023_18-48-04,0.2975,61.41,28.7,255
09-11-2023_18-48-04,0.2975,61.42,28.67,255
09-11-2023_18-48-04,0.2975,61.43,28.69,255
09-11-2023_18-48-05,0.2975,61.45,28.68,255
09-11-2023_18-48-05,0.29777777777777775,61.43,28.68,255
09-11-2023_18-48-05,0.29777777777777775,61.47,28.72,255
09-11-2023_18-48-05,0.29777777777777775,61.46,28.7,255
09-11-2023_18-48-06,0.29777777777777775,61.48,28.65,255
09-11-2023_18-48-06,0.2980555555555556,61.49,28.71,255
