Date,Time,Biomass,Dissolved_oxygen,pH,T_heater,T_liquid,T_sensor,T_amb,Power,PWM_feed,PWM_heater
08-01-2024_13-15-59,33,0.031,0.0,-3.511,22.429,22.565,21.936,22.061,-0.076,150.0,0.0
08-01-2024_13-15-59,33,0.031,0.0,-3.511,22.414,22.512,21.925,22.07,-0.067,150.0,0.0
08-01-2024_13-16-00,33,0.031,0.0,-3.511,22.43,22.543,21.934,22.062,-0.105,150.0,0.0
08-01-2024_13-16-00,33,0.031,0.0,-3.511,22.424,22.567,21.928,22.071,-0.099,150.0,0.0
08-01-2024_13-16-00,34,0.031,0.0,-3.511,22.432,22.595,21.94,22.065,-0.072,150.0,0.0
08-01-2024_13-16-00,34,0.031,0.0,-3.511,22.424,22.65,21.921,22.065,-0.077,150.0,0.0
08-01-2024_13-16-01,34,0.031,0.0,-3.511,22.431,22.504,21.956,22.065,-0.062,150.0,0.0
08-01-2024_13-16-01,34,0.031,0.0,-3.511,22.424,22.611,21.932,22.069,-0.105,150.0,0.0
08-01-2024_13-16-01,35,0.031,0.0,-3.511,22.423,22.58,21.93,22.072,-0.085,150.0,0.0
08-01-2024_13-16-01,35,0.03,0.0,-3.511,22.416,22.558,21.908,22.064,-0.086,150.0,0.0
08-01-2024_13-16-02,35,0.03,0.0,-3.511,22.427,22.567,21.907,22.072,-0.096,150.0,0.0
08-01-2024_13-16-02,35,0.03,0.0,-3.511,22.43,22.554,21.924,22.074,-0.062,150.0,0.0
08-01-2024_13-16-02,36,0.031,0.0,-3.511,22.435,22.531,21.942,22.069,-0.076,150.0,0.0
08-01-2024_13-16-02,36,0.031,0.0,-3.511,22.424,22.569,21.928,22.071,-0.086,150.0,0.0
08-01-2024_13-16-03,36,0.031,0.0,-3.511,22.417,22.594,21.941,22.064,-0.108,150.0,0.0
08-01-2024_13-16-03,36,0.031,0.0,-3.511,22.424,22.576,21.95,22.07,-0.101,150.0,0.0
08-01-2024_13-16-03,37,0.031,0.0,-3.511,22.425,22.534,21.93,22.062,-0.085,150.0,0.0
08-01-2024_13-16-03,37,0.031,0.0,-3.511,22.425,22.554,21.933,22.071,-0.087,150.0,0.0
08-01-2024_13-16-04,37,0.031,0.0,-3.511,22.428,22.573,21.917,22.066,-0.067,150.0,0.0
08-01-2024_13-16-04,37,0.031,0.0,-3.511,22.432,22.58,21.919,22.063,-0.099,150.0,0.0
08-01-2024_13-16-04,38,0.031,0.0,-3.511,22.423,22.538,21.934,22.065,-0.087,150.0,0.0
08-01-2024_13-16-04,38,0.031,0.0,-3.511,22.425,22.587,21.903,22.066,-0.104,150.0,0.0
08-01-2024_13-16-05,38,0.031,0.0,-3.511,22.431,22.595,21.94,22.066,-0.113,150.0,0.0
08-01-2024_13-16-05,38,0.031,0.0,-3.511,22.427,22.572,21.953,22.07,-0.096,150.0,0.0
08-01-2024_13-16-05,39,0.031,0.0,-3.511,22.421,22.534,21.918,22.059,-0.088,150.0,0.0
08-01-2024_13-16-05,39,0.031,0.0,-3.511,22.425,22.565,21.94,22.066,-0.068,150.0,0.0
08-01-2024_13-16-06,39,0.031,0.0,-3.511,22.431,22.559,21.918,22.061,-0.057,150.0,0.0
08-01-2024_13-16-06,39,0.031,0.0,-3.511,22.421,22.543,21.926,22.061,-0.094,150.0,0.0
08-01-2024_13-16-06,40,0.031,0.0,-3.511,22.425,22.533,21.947,22.064,-0.092,150.0,0.0
08-01-2024_13-16-06,40,0.031,0.0,-3.511,22.422,22.601,21.933,22.06,-0.058,150.0,0.0
08-01-2024_13-16-07,40,0.031,0.0,-3.511,22.425,22.539,21.928,22.06,-0.084,150.0,0.0
